year,title,citations
05,Coarse-to-Fine n-Best Parsing and MaxEnt Discriminative Reranking,219
05,Data-Defined Kernels for Parse Reranking Derived from Probabilistic Models,13
05,Boosting-based Parse Reranking with Subtree Features,19
05,Automatic Measurement of Syntactic Development in Child Language,14
05,Experiments with Interactive Question-Answering,27
05,Question Answering as Question-Biased Term Extraction: A New Approach toward Multilingual QA,9
05,Exploring and Exploiting the Limited Utility of Captions in Recognizing Intention in Information Graphics,12
05,Scaling up from Dialogue to Multilogue: Some Principles and Benchmarks,3
05,Implications for Generating Clarification Requests in Task-Oriented Dialogues,12
05,Scaling Phrase-Based Statistical Machine Translation to Larger Corpora and Longer Phrases,24
05,A Hierarchical Phrase-Based Model for Statistical Machine Translation,290
05,Dependency Treelet Translation: Syntactically Informed Phrasal SMT,134
05,QARLA: A Framework for the Evaluation of Text Summarization Systems,10
05,Supervised and Unsupervised Learning for Sentence Compression,39
05,Lexicalization in Crosslinguistic Probabilistic Parsing: The Case of French,18
05,What to Do When Lexicalization Fails: Parsing German with Suffix Analysis and Smoothing,20
05,Detecting Errors in Discontinuous Structural Annotation,16
05,A Dynamic Bayesian Framework to Model Context and Memory in Edit Distance Learning: An Application to Pronunciation Classification,13
05,Learning Stochastic OT Grammars: A Bayesian Approach using Data Augmentation and Gibbs Sampling,3
05,Contrastive Estimation: Training Log-Linear Models on Unlabeled Data,69
05,Incorporating Non-local Information into Information Extraction Systems by Gibbs Sampling,174
05,Unsupervised Learning of Field Segmentation Models for Information Extraction,34
05,A Semantic Approach to IE Pattern Induction,41
05,Word Sense Disambiguation vs. Statistical Machine Translation,35
05,Word Sense Disambiguation Using Label Propagation Based Semi-Supervised Learning,32
05,Domain Kernels for Word Sense Disambiguation,40
05,Improving Name Tagging by Reference Resolution and Relation Detection,21
05,Extracting Relations with Integrated Information Using Kernel Methods,77
05,Exploring Various Knowledge in Relation Extraction,60
05,A Quantitative Analysis of Lexical Differences Between Genders in Telephone Conversations,5
05,Position Specific Posterior Lattices for Indexing Speech,37
05,Using Conditional Random Fields for Sentence Boundary Detection in Speech,25
05,Log-Linear Models for Word Alignment,34
05,Alignment Model Adaptation for Domain-Specific Word Alignment,4
05,Stochastic Lexicalized Inversion Transduction Grammar for Alignment,30
05,Multi-Field Information Extraction and Cross-Document Fusion,21
05,Simple Algorithms for Complex Relation Extraction with Applications to Biomedical IE,18
05,Resume Information Extraction with Cascaded Hybrid Model,16
05,Discriminative Syntactic Language Modeling for Speech Recognition,25
05,A Phonotactic Language Model for Spoken Language Identification,12
05,Reading Level Assessment Using Support Vector Machines and Statistical Language Models,36
05,Clause Restructuring for Statistical Machine Translation,115
05,Machine Translation Using Probabilistic Synchronous Dependency Insertion Grammars,73
05,Context-Dependent SMT Model using Bilingual Verb-Noun Collocation,1
05,A Localized Prediction Model for Statistical Machine Translation,33
05,Instance-based Sentence Boundary Determination by Optimization for Natural Language Generation,2
05,"Arabic Tokenization, Part-of-Speech Tagging and Morphological Disambiguation in One Fell Swoop",84
05,Semantic Role Labeling Using Different Syntactic Views,47
05,Joint Learning Improves Semantic Role Labeling,65
05,Paraphrasing with Bilingual Parallel Corpora,60
05,A Nonparametric Method for Extraction of Candidate Phrasal Terms,15
05,Automatic Acquisition of Adjectival Subcategorization from Corpora,6
05,Randomized Algorithms and NLP: Using Locality Sensitive Hash Functions for High Speed Noun Clustering,27
05,Front Matter,1
05,Hybrid Methods for POS Guessing of Chinese Unknown Words,4
05,An Extensive Empirical Study of Collocation Extraction Methods,8
05,Jointly Labeling Multiple Sequences: A Factorial HMM Approach,2
05,Exploiting Named Entity Taggers in a Second Language,2
05,Automatic Discovery of Intentions in Text and its Application to Question Answering,1
05,American Sign Language Generation: Multimodal NLG with Multiple Linguistic Channels,11
05,Using Emoticons to Reduce Dependency in Machine Learning Techniques for Sentiment Classification,29
05,Learning Meronyms from Biomedical Text,1
05,Using Readers to Identify Lexical Cohesive Structures in Texts,5
05,Towards an Optimal Lexicalization in a Natural-Sounding Portable Natural Language Generator for Dialog Systems,0
05,Phrase Linguistic Classification and Generalization for Improving Statistical Machine Translation,6
05,Automatic Induction of a CCG Grammar for Turkish,5
05,Dialogue Act Tagging for Instant Messaging Chat Sessions,11
05,Learning Strategies for Open-Domain Natural Language Question Answering,1
05,Dependency-Based Statistical Machine Translation,1
05,Minimalist Parsing of Subjects Displaced from Embedded Clauses in Free Word Order Languages,0
05,Centrality Measures in Text Mining: Prediction of Noun Phrases that Appear in Abstracts,1
05,A Corpus-Based Approach to Topic in Danish dialog,3
05,Learning Information Structure in the Prague Treebank,2
05,Using Bilingual Dependencies to Align Words in English/French Parallel Corpora,0
05,An Unsupervised System for Identifying English Inclusions in German Text,4
05,Corpus-Oriented Development of Japanese HPSG Parsers,0
05,Unsupervised Discrimination and Labeling of Ambiguous Names,4
05,A Domain-Specific Statistical Surface Realizer,0
05,Front Matter,1
05,An Information-State Approach to Collaborative Reference,7
05,Accessing GermaNet Data and Computing Semantic Relatedness,4
05,Efficient Solving and Exploration of Scope Ambiguities,6
05,Dynamically Generating a Protein Entity Dictionary Using Online Resources,0
05,Descriptive Question Answering in Encyclopedia,2
05,High Throughput Modularized NLP System for Clinical Text,4
05,A Voice Enabled Procedure Browser for the International Space Station,8
05,Learning Source-Target Surface Patterns for Web-based Terminology Translation,11
05,SPEECH OGLE: Indexing Uncertainty for Spoken Document Search,2
05,Multimodal Generation in the COMIC Dialogue System,10
05,Language Independent Extractive Summarization,18
05,SenseLearner: Word Sense Disambiguation for All Words in Unrestricted Text,10
05,Syntax-based Semi-Supervised Named Entity Tagging,3
05,Portable Translator Capable of Recognizing Characters on Signboard and Menu Captured by its Built-in Camera,6
05,Supporting Annotation Layers for Natural Language Processing,3
05,Word Alignment and Cross-Lingual Resource Acquisition,2
05,A Practical Solution to the Problem of Automatic Part-of-Speech Induction from Text,5
05,Automating Temporal Annotation with TARSQI,25
05,Two Diverse Systems Built using Generic Components for Spoken Dialogue (Recent Progress on TRIPS),8
05,Transonics: A Practical Speech-to-Speech Translator for English-Farsi Medical Dialogs,5
05,The Wild Thing,8
05,Interactively Exploring a Machine Translation Model,8
05,Multi-Engine Machine Translation Guided by Explicit Word Matching,39
05,SenseClusters: Unsupervised Clustering and Labeling of Similar Contexts,9
05,A Flexible Stand-Off Data Model with Query Language for Multi-Level Annotation,2
05,HAHAcronym: A Computational Humor System,5
05,Organizing English Reading Materials for Vocabulary Learning,0
05,Reformatting Web Documents via Header Trees,1
06,Combination of Arabic Preprocessing Schemes for Statistical Machine Translation,19
06,Going Beyond AER: An Extensive Analysis of Word Alignments and Their Impact on MT,29
06,Unsupervised Topic Modelling for Multi-Party Spoken Discourse,30
06,Minimum Cut Model for Spoken Lecture Segmentation,47
06,Bootstrapping Path-Based Pronoun Resolution,11
06,Kernel-Based Pronoun Resolution with Structured Syntactic Knowledge,14
06,A Finite-State Model of Human Sentence Processing,4
06,Acceptability Prediction by Means of Grammaticality Quantification,5
06,Discriminative Word Alignment with Conditional Random Fields,32
06,Named Entity Transliteration with Comparable Corpora,31
06,Extracting Parallel Sub-Sentential Fragments from Non-Parallel Corpora,18
06,Estimating Class Priors in Domain Adaptation for Word Sense Disambiguation,10
06,Ensemble Methods for Unsupervised WSD,23
06,Meaningful Clustering of Senses Helps Boost Word Sense Disambiguation Performance,27
06,Espresso: Leveraging Generic Patterns for Automatically Harvesting Semantic Relations,131
06,Modeling Commonality among Related Classes in Relation Extraction,9
06,Relation Extraction Using Label Propagation Based Semi-Supervised Learning,19
06,Polarized Unification Grammars,10
06,Partially Specified Signatures: A Vehicle for Grammar Modularity,5
06,Morphology-Syntax Interface for Turkish LFG,1
06,PCFGs with Syntactic and Prosodic Indicators of Speech Repairs,10
06,Dependency Parsing of Japanese Spoken Monologue Based on Clause Boundaries,0
06,Trace Prediction and Recovery with Unlexicalized PCFGs and Slash Features,7
06,Learning More Effective Dialogue Strategies Using Limited Dialogue Move Features,21
06,Dependencies between Student State and Speech Recognition Problems in Spoken Tutoring Dialogues,5
06,Learning the Structure of Task-Driven Human-Human Dialogs,18
06,Semi-Supervised Conditional Random Fields for Improved Sequence Segmentation and Labeling,34
06,Training Conditional Random Fields with Multivariate Evaluation Measures,9
06,Approximation Lasso Methods for Language Modeling,6
06,Automated Japanese Essay Scoring System based on Articles Written by Experts,4
06,A Feedback-Augmented Method for Detecting Errors in the Writing of Learners of English,10
06,Correcting ESL Errors Using Phrasal SMT Techniques,16
06,Graph Transformations in Data-Driven Dependency Parsing,11
06,Learning to Generate Naturalistic Utterances Using Reviews in Spoken Dialogue Systems,12
06,Measuring Language Divergence by Intra-Lexical Comparison,14
06,Enhancing Electronic Dictionaries with an Index Based on Associations,12
06,Guiding a Constraint Dependency Parser with Supertags,6
06,Efficient Unsupervised Discovery of Word Categories Using Symmetric Patterns and High Frequency Words,21
06,Bayesian Query-Focused Summarization,26
06,Expressing Implicit Semantic Relations without Supervision,40
06,Hybrid Parsing: Using Probabilistic Models as Predictors for a Symbolic Parser,19
06,Error Mining in Parsing Results,7
06,Reranking and Self-Training for Parser Adaptation,48
06,Automatic Classification of Verbs in Biomedical Texts,9
06,Selection of Effective Contextual Information for Automatic Synonym Acquisition,9
06,Scaling Distributional Similarity to Large Corpora,16
06,Extractive Summarization using Inter- and Intra- Event Relevance,23
06,"Models for Sentence Compression: A Comparison across Domains, Training Requirements and Evaluation Measures",25
06,A Bottom-Up Approach to Sentence Ordering for Multi-Document Summarization,12
06,Learning Event Durations from Event Descriptions,10
06,Automatic Learning of Textual Entailments with Cross-Pair Similarities,14
06,An Improved Redundancy Elimination Algorithm for Underspecified Representations,5
06,"Integrating Syntactic Priming into an Incremental Probabilistic Parser, with an Application to Psycholinguistic Modeling",6
06,"A Fast, Accurate Deterministic Parser for Chinese",9
06,"Learning Accurate, Compact, and Interpretable Tree Annotation",79
06,Semi-Supervised Learning of Partial Cognates Using Bilingual Bootstrapping,4
06,Direct Word Sense Matching for Lexical Substitution,17
06,An Equivalent Pseudoword Solution to Chinese Word Sense Disambiguation,1
06,Improving the Scalability of Semi-Markov Conditional Random Fields for Named Entity Recognition,23
06,Factorizing Complex Models: A Case Study in Mention Detection,6
06,Segment-Based Hidden Markov Models for Information Extraction,0
06,A DOM Tree Alignment Model for Mining Parallel Data from the Web,12
06,QuestionBank: Creating a Corpus of Parse-Annotated Questions,3
06,Creating a CCGbank and a Wide-Coverage CCG Lexicon for German,10
06,Improved Discriminative Bilingual Word Alignment,15
06,Maximum Entropy Based Phrase Reordering Model for Statistical Machine Translation,58
06,Distortion Models for Statistical Machine Translation,33
06,A Study on Automatically Extracted Keywords in Text Categorization,18
06,A Comparison and Semi-Quantitative Analysis of Words and Character-Bigrams as Features in Chinese Text Categorization,9
06,Exploiting Comparable Corpora and Bilingual Dictionaries for Cross-Language Text Categorization,12
06,A Progressive Feature Selection Algorithm for Ultra Large Feature Spaces,1
06,Annealing Structural Bias in Multilingual Weighted Grammar Induction,25
06,Maximum Entropy Based Restoration of Arabic Diacritics,20
06,An Iterative Implicit Feedback Approach to Personalized Search,11
06,The Effect of Translation Quality in MT-Based Cross-Language Information Retrieval,8
06,"A Comparison of Document, Sentence, and Term Event Spaces",6
06,Tree-to-String Alignment Template for Statistical Machine Translation,81
06,Incorporating Speech Recognition Confidence into Discriminative Named Entity Recognition of Speech Data,4
06,Exploiting Syntactic Patterns as Clues in Zero-Anaphora Resolution,15
06,Self-Organizing n-gram Model for Automatic Word Spacing,1
06,Concept Unification of Terms in Different Languages for IR,2
06,Word Alignment in English-Hindi Parallel Corpus Using Recency-Vector Approach: Some Studies,1
06,Extracting Loanwords from Mongolian Corpora and Producing a Japanese-Mongolian Bilingual Dictionary,5
06,An Unsupervised Morpheme-Based HMM for Hebrew Morphological Disambiguation,12
06,Contextual Dependencies in Unsupervised Word Segmentation,54
06,MAGEAD: A Morphological Analyzer and Generator for the Arabic Dialects,9
06,Noun Phrase Chunking in Hebrew: Influence of Lexical and Morphological Features,6
06,Multi-Tagging for Lexicalized-Grammar Parsing,18
06,Guessing Parts-of-Speech of Unknown Words Using Global Information,6
06,A Clustered Global Phrase Reordering Model for Statistical Machine Translation,12
06,A Discriminative Global Training Algorithm for Statistical MT,23
06,Phoneme-to-Text Transcription System with an Infinite Vocabulary,0
06,Automatic Generation of Domain Models for Call-Centers from Noisy Transcriptions,19
06,Proximity in Context: An Empirically Grounded Computational Model of Proximity for Processing Topological Spatial Expressions,10
06,Machine Learning of Temporal Relations,44
06,An End-to-End Discriminative Approach to Machine Translation,41
06,Semi-Supervised Training for Statistical Word Alignment,33
06,Left-to-Right Target Generation for Hierarchical Phrase-Based Translation,15
06,Ontologizing Semantic Relations,16
06,Semantic Taxonomy Induction from Heterogenous Evidence,108
06,Names and Similarities on the Web: Fact Extraction in the Fast Lane,32
06,Weakly Supervised Named Entity Transliteration and Discovery from Multilingual Comparable Corpora,27
06,A Composite Kernel to Extract Relations between Entities with Both Flat and Structured Features,45
06,Japanese Dependency Parsing Using Co-Occurrence Information and a Combination of Case Elements,4
06,"Answer Extraction, Semantic Clustering, and Extractive Summarization for Clinical Question Answering",12
06,Discovering Asymmetric Entailment Relations between Verbs Using Selectional Preferences,11
06,Event Extraction in a Plot Advice Agent,2
06,An All-Subtrees Approach to Unsupervised Parsing,28
06,Advances in Discriminative Parsing,14
06,Prototype-Driven Grammar Induction,8
06,Exploring Correlation of Dependency Relation Paths for Answer Extraction,14
06,Question Answering with Lexical Chains Propagating Verb Arguments,11
06,Methods for Using Textual Entailment in Open-Domain Question Answering,48
06,Using String-Kernels for Learning Semantic Parsers,35
06,A Bootstrapping Approach to Unsupervised Detection of Cue Phrase Variants,7
06,"Semantic Role Labeling via FrameNet, VerbNet and PropBank",25
06,Multilingual Legal Terminology on the Jibiki Platform: The LexALP Project,2
06,Leveraging Reusability: Cost-Effective Lexical Acquisition for Large-Scale Ontology Translation,6
06,Accurate Collocation Extraction Using a Multilingual Parser,9
06,Scalable Inference and Training of Context-Rich Syntactic Translation Models,128
06,Modelling Lexical Redundancy for Machine Translation,7
06,Empirical Lower Bounds on the Complexity of Translational Equivalence,25
06,A Hierarchical Bayesian Language Model Based On Pitman-Yor Processes,53
06,A Phonetic-Based Approach to Chinese Chat Text Normalization,1
06,Discriminative Pruning of Language Models for Chinese Word Segmentation,1
06,Novel Association Measures Using Web Search with Double Checking,45
06,Semantic Retrieval for the Accurate Identification of Relational Concepts in Massive Textbases,31
06,Exploring Distributional Similarity Based Models for Query Spelling Correction,27
06,Robust PCFG-Based Generation Using Automatically Acquired LFG Approximations,14
06,Incremental Generation of Spatial Referring Expressions in Situated Dialog,23
06,Learning to Predict Case Markers in Japanese,8
06,Are These Documents Written from Different Perspectives? A Test of Different Perspectives Based on Statistical Distribution Divergence,9
06,Word Sense and Subjectivity,42
06,Improving QA Accuracy by Question Inversion,1
06,Reranking Answers for Definitional QA Using Language Modeling,10
06,Highly Constrained Unification Grammars,3
06,"A Polynomial Parsing Algorithm for the Topological Model: Synchronizing Constituent and Dependency Grammars, Illustrated by German Word Order Phenomena",0
06,Stochastic Language Generation Using WIDL-Expressions and its Application in Machine Translation and Summarization,4
06,Learning to Say It Well: Reranking Realizations by Predicted Synthesis Quality,12
06,An Effective Two-Stage Model for Exploiting Non-Local Dependencies in Named Entity Recognition,36
06,Learning Transliteration Lexicons from the Web,11
06,Punjabi Machine Transliteration,4
06,Multilingual Document Clustering: An Heuristic Approach Based on Cognate Named Entities,5
06,Time Period Identification of Events in Text,3
06,Optimal Constituent Alignment with Edge Covers for Semantic Projection,10
06,Utilizing Co-Occurrence of Answers in Question Answering,2
06,Using Machine Learning Techniques to Build a Comma Checker for Basque,1
06,A Rote Extractor with Edit Distance-Based Generalisation and Multi-Corpora Precision Calculation,4
06,MT Evaluation: Human-Like vs. Human Acceptable,8
06,The Effect of Corpus Size in Combining Supervised and Unsupervised Training for Disambiguation,1
06,A Phrase-Based Statistical Model for SMS Text Normalization,10
06,Evaluating the Accuracy of an Unlexicalized Statistical Parser on the PARC DepBank,20
06,N Semantic Classes are Harder than Two,1
06,Towards Conversational QA: Automatic Identification of Problematic Situations and User Intent,0
06,A Pipeline Framework for Dependency Parsing,3
06,A Hybrid Convolution Tree Kernel for Semantic Role Labeling,6
06,A High-Accurate Chinese-English NE Backward Translation System Combining Both Lexical Information and Web Statistics,3
06,Unsupervised Relation Disambiguation Using Spectral Clustering,3
06,An Empirical Study of Chinese Chunking,14
06,Soft Syntactic Constraints for Word Alignment through Discriminative Training,10
06,An Account for Compound Prepositions in Farsi,1
06,Techniques to Incorporate the Benefits of a Hierarchy in a Modified Hidden Markov Model,2
06,Analysis and Synthesis of the Distribution of Consonants over Languages: A Complex Network Approach,9
06,Using Machine-Learning to Assign Function Labels to Parser Output for Spanish,4
06,Constraint-Based Sentence Compression: An Integer Programming Approach,8
06,Topic-Focused Multi-Document Summarization Using an Approximate Oracle Score,24
06,Using WordNet to Automatically Deduce Relations between Words in Noun-Noun Compounds,7
06,Automatically Extracting Nominal Mentions of Events with a Bootstrapped Probabilistic Classifier,2
06,A Bio-Inspired Approach for Multi-Word Expression Extraction,1
06,Towards A Modular Data Model For Multi-Layer Annotated Corpora,6
06,A Modified Joint Source-Channel Model for Transliteration,16
06,Chinese-English Term Translation Mining Based on Semantic Prediction,10
06,Automatic Creation of Domain Templates,7
06,Using Lexical Dependency and Ontological Knowledge to Improve a Detailed Syntactic and Semantic Tagger of English,2
06,The Benefit of Stochastic PP Attachment to a Rule-Based Parser,9
06,Using Bilingual Comparable Corpora and Semi-supervised Clustering for Topic Tracking,0
06,Robust Word Sense Translation by EM Learning of Frame Semantics,1
06,Coreference Handling in XMG,1
06,Conceptual Coherence in the Generation of Referring Expressions,5
06,Discriminative Reranking for Semantic Parsing,6
06,Multilingual Lexical Database Generation from Parallel Texts in 20 European Languages with Endogenous Resources,10
06,Factoring Synchronous Grammars by Sorting,2
06,Low-Cost Enrichment of Spanish WordNet with Automatically Translated Glosses: Combining General and Specialized Models,1
06,Speeding Up Full Syntactic Parsing by Leveraging Partial Parsing Decisions,4
06,Parsing Aligned Parallel Corpus by Projecting Syntactic Relations from Annotated Source Corpus,1
06,Reduced n-gram Models for English and Chinese Corpora,1
06,Discriminative Classifiers for Deterministic Dependency Parsing,20
06,Detection of Quotations and Inserted Clauses and Its Application to Dependency Structure Analysis in Spontaneous Japanese,1
06,Improving English Subcategorization Acquisition with Diathesis Alternations as Heuristic Information,0
06,Local Constraints on Sentence Markers and Focus in Somali,0
06,A Collaborative Framework for Collecting Thai Unknown Words from the Web,4
06,Japanese Idiom Recognition: Drawing a Line between Literal and Idiomatic Meanings,8
06,Graph Branch Algorithm: An Optimum Tree Search Method for Scored Dependency Graph with Arc Co-Occurrence Constraints,1
06,Exploring the Potential of Intractable Parsers,0
06,"Transformation-Based Interpretation of Implicit Parallel Structures: Reconstructing the Meaning of ""vice versa"" and Similar Linguistic Operators",0
06,When Conset Meets Synset: A Preliminary Survey of an Ontological Lexical Resource Based on Chinese Characters,3
06,Spontaneous Speech Understanding for Robust Multi-Modal Human-Robot Communication,10
06,Efficient Sentence Retrieval Based on Syntactic Structure,4
06,Towards the Orwellian Nightmare: Separation of Business and Personal Emails,3
06,Exploiting Non-Local Features for Spoken Language Understanding,8
06,Analysis and Repair of Name Tagger Errors,10
06,Unsupervised Segmentation of Chinese Text by Use of Branching Entropy,8
06,A FrameNet-Based Semantic Role Labeler for Swedish,10
06,Obfuscating Document Stylometry to Preserve Author Anonymity,6
06,Automatic Construction of Polarity-Tagged Corpus from HTML Documents,10
06,Minority Vote: At-Least-N Voting Improves Recall for Extracting Relations,2
06,Integration of Speech to Computer-Assisted Translation Using Finite-State Automata,5
06,GF Parallel Resource Grammars and Russian,3
06,Automatic Identification of Pro and Con Reasons in Online Reviews,28
06,Interpreting Semantic Relations in Noun Compounds via Verb Semantics,24
06,Unsupervised Analysis for Decipherment Problems,5
06,Mildly Non-Projective Dependency Structures,26
06,Parsing and Subcategorization Data,1
06,The Role of Information Retrieval in Answering Complex Questions,6
06,Examining the Content Load of Part of Speech Blocks for Information Retrieval,9
06,Stochastic Iterative Alignment for Machine Translation Evaluation,4
06,Discriminating Image Senses by Clustering with Multimodal Features,12
06,Modeling Adjectives in Computational Relational Lexica,3
06,Segmented and Unsegmented Dialogue-Act Annotation with Statistical Dialogue Models,0
06,ARE: Instance Splitting Strategies for Dependency Relation-Based Information Extraction,2
06,Integrating Pattern-Based and Distributional Similarity Methods for Lexical Entailment Acquisition,10
06,Machine-Learning-Based Transformation of Passive Japanese Sentences into Active by Separating Training Data into Each Input Particle,0
06,Reinforcing English Countability Prediction with One Countability per Discourse Property,1
06,An Automatic Method for Summary Evaluation Using Multiple Evaluation Results by a Manual Method,2
06,Examining the Role of Linguistic Knowledge Sources in the Automatic Identification and Classification of Reviews,30
06,Semantic Parsing with Structured SVM Ensemble Classification Models,5
06,Whose Thumb Is It Anyway? Classifying Author Personality from Weblog Text,22
06,Analysis of Selective Strategies to Build a Dependency-Analyzed Corpus,0
06,A Term Recognition Approach to Acronym Recognition,14
06,Combining Association Measures for Collocation Extraction,17
06,Using Machine Learning to Explore Human Multimodal Clarification Strategies,16
06,URES : an Unsupervised Web Relation Extraction System,11
06,Argumentative Feedback: A Linguistically-Motivated Term Expansion for Information Retrieval,6
06,Simultaneous English-Japanese Spoken Language Translation Based on Incremental Dependency Parsing and Transfer,0
06,A Best-First Probabilistic Shift-Reduce Parser,14
06,Implementing a Characterization of Genre for Automatic Genre Identification of Web Pages,9
06,Translating HPSG-Style Outputs of a Robust Parser into Typed Dynamic Logic,0
06,Continuous Space Language Models for Statistical Machine Translation,5
06,On-Demand Information Extraction,31
06,Using Comparable Corpora to Solve Problems Difficult for Human Translators,3
06,Adding Syntax to Dynamic Programming for Aligning Comparable Texts for the Generation of Paraphrases,1
06,Unsupervised Topic Identification by Integrating Linguistic and Visual Information Based on Hidden Markov Models,5
06,Exact Decoding for Jointly Labeling and Chunking Sequences,3
06,Compiling a Lexicon of Cooking Actions for Animation Generation,2
06,Minimum Risk Annealing for Training Log-Linear Models,26
06,Unsupervised Induction of Modern Standard Arabic Verb Classes Using Syntactic Frames and LSA,0
06,Discourse Generation Using Utility-Trained Coherence Models,11
06,A Comparison of Alternative Parse Tree Paths for Labeling Semantic Roles,6
06,A Logic-Based Semantic Approach to Recognizing Textual Entailment,8
06,Infrastructure for Standardization of Asian Language Resources,13
06,Statistical Phrase-Based Models for Interactive Computer-Assisted Translation,4
06,Using Word Support Model to Improve Chinese Input System,3
06,Trimming CFG Parse Trees for Sentence Compression Using Machine Learning Approaches,4
06,Word Vectors and Two Kinds of Similarity,3
06,Finding Synonyms Using Automatic Word Alignment and Measures of Distributional Similarity,9
06,Word Alignment for Languages with Scarce Resources Using Bilingual Corpora of Other Language Pairs,5
06,Combining Statistical and Knowledge-Based Spoken Language Understanding in Conditional Models,4
06,Sinhala Grapheme-to-Phoneme Conversion and Rules for Schwa Epenthesis,2
06,From Prosodic Trees to Syntactic Trees,0
06,A Grammatical Approach to Understanding Textual Tables Using Two-Dimensional SCFGs,0
06,Boosting Statistical Word Alignment Using Labeled and Unlabeled Data,6
06,Aligning Features with Sense Distinction Dimensions,2
06,Word Sense Disambiguation Using Lexical Cohesion in the Context,3
06,Stochastic Discourse Modeling in Spoken Dialogue Systems Using Semantic Dependency Graphs,1
06,HAL-Based Cascaded Model for Variable-Length Semantic Pattern Induction from Psychiatry Web Resources,1
06,Inducing Word Alignments with Bilexical Synchronous Trees,2
06,Subword-Based Tagging for Confidence-Dependent Chinese Word Segmentation,4
06,BiTAM: Bilingual Topic AdMixture Models for Word Alignment,11
06,An HMM-Based Approach to Automatic Phrasing for Mandarin Text-to-Speech Synthesis,0
06,A Flexible Approach to Natural Language Generation for Disabled Children,1
06,Unsupervised Part-of-Speech Tagging Employing Efficient Graph Clustering,20
06,Sub-Sentential Alignment Using Substring Co-Occurrence Counts,2
06,Annotation Schemes and their Influence on Parsing Results,8
06,Modeling Human Sentence Processing Data with a Statistical Parts-of-Speech Tagger,0
06,Semantic Discourse Segmentation and Labeling for Route Instructions,0
06,Investigations on Event-Based Summarization,6
06,Discursive Usage of Six Chinese Punctuation Marks,1
06,Integrated Morphological and Syntactic Disambiguation for Modern Hebrew,9
06,Focus to Emphasize Tone Structures for Prosodic Analysis in Spoken Language Generation,0
06,Extraction of Tree Adjoining Grammars from a Treebank for Korean,0
06,Parsing and Subcategorization Data,1
06,Clavius: Bi-Directional Parsing for Generic Multimodal Interaction,1
06,LeXFlow: A System for Cross-Fertilization of Computational Lexicons,2
06,Valido: A Visual Tool for Validating Sense Annotations,0
06,An Intelligent Search Engine and GUI-based Efficient MEDLINE Search Tool Based on Deep Syntactic Parsing,8
06,MIMA Search: A Structuring Knowledge System towards Innovation for Engineering Education,0
06,FERRET: Interactive Question-Answering for Real-World Environments,6
06,K-QARD: A Practical Korean Question Answering Framework for Restricted Domain,0
06,An Intermediate Representation for the Interpretation of Temporal Expressions,2
06,Chinese Named Entity and Relation Identification System,1
06,Computational Analysis of Move Structures in Academic Abstracts,3
06,LexNet: A Graphical Environment for Graph-Based NLP,0
06,Archivus: A Multimodal System for Multimedia Meeting Browsing and Retrieval,5
06,Re-Usable Tools for Precision Machine Translation,3
06,The SAMMIE System: Multimodal In-Car Dialogue,1
06,TwicPen: Hand-held Scanner and Translation Software for non-Native Readers,2
06,An Implemented Description of Japanese: The Lexeed Dictionary and the Hinoki Treebank,1
06,NLTK: The Natural Language Toolkit,9
06,"Outilex, a Linguistic Platform for Text Processing",4
06,The Second Release of the RASP System,1
07,Guiding Statistical Word Alignment Models With Prior Knowledge,5
07,A Discriminative Syntactic Word Order Model for Machine Translation,6
07,Tailoring Word Alignments to Syntactic Machine Translation,22
07,Transductive learning for statistical machine translation,11
07,Word Sense Disambiguation Improves Statistical Machine Translation,46
07,Learning Expressive Models for Word Sense Disambiguation,11
07,Domain Adaptation with Active Learning for Word Sense Disambiguation,25
07,Making Lexical Ontologies Functional and Context-Sensitive,6
07,A Bayesian Model for Discovering Typological Implications,4
07,A discriminative language model with pseudo-negative samples,7
07,Learning to Compose Effective Strategies from a Library of Dialogue Components,1
07,On the role of context and prosody in the interpretation of 'okay',10
07,Predicting Success in Dialogue,10
07,"Resolving It, This, and That in Unrestricted Multi-Party Dialog",11
07,A Comparative Study of Parameter Estimation Methods for Statistical Natural Language Processing,15
07,Grammar Approximation by Representative Sublanguage: A New Model for Language Learning,2
07,Chinese Segmentation with a Word-Based Perceptron Algorithm,10
07,Unsupervised Coreference Resolution in a Nonparametric Bayesian Model,36
07,Pivot Language Approach for Phrase-Based Statistical Machine Translation,19
07,Bootstrapping a Stochastic Transducer for Arabic-English Transliteration Extraction,5
07,Detecting Erroneous Sentences using Automatically Mined Sequential Patterns,8
07,A Re-examination of Machine Learning Approaches for Sentence-Level MT Evaluation,15
07,Automatic Acquisition of Ranked Qualia Structures from the Web,17
07,A Sequencing Model for Situation Entity Classification,4
07,Words and Echoes: Assessing and Mitigating the Non-Randomness Problem in Word Frequency Distribution Modeling,1
07,"A System for Large-Scale Acquisition of Verbal, Nominal and Adjectival Subcategorization Frames from Corpora",7
07,A Language-Independent Unsupervised Model for Morphological Segmentation,16
07,Using Mazurkiewicz Trace Languages for Partition-Based Morphology,0
07,Much ado about nothing: A social network model of Russian paradigmatic gaps,5
07,Substring-Based Transliteration,19
07,Vocabulary Decomposition for Estonian Open Vocabulary Speech Recognition,6
07,Pipeline Iteration,10
07,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,31
07,Generalizing Tree Transformations for Inductive Dependency Parsing,6
